book_id,alpha_cn,alpha_ca,r2_cn,r2_ca
19,0.8513493345788715,0.879895484052053,0.9609904264148703,0.9588956198562821
40,0.9552223414390696,0.9262882320681232,0.967275958075094,0.9658122944663422
42,0.8668296545039404,0.9963938397917517,0.9374859366017448,0.9708735729947862
43,0.8662551441455828,0.9423135138062319,0.9362612283223107,0.9691859717750397
44,0.8577366455433366,0.9890168040815053,0.9446130438256786,0.9696514788519436
45,0.9084573414002586,0.8552189915848121,0.9479428596465567,0.9456842101670127
46,0.8539946575493201,0.9573659726688445,0.9338265032907807,0.9713499973779661
47,0.8892400745057633,0.9259197993203206,0.9433130332311667,0.9669090286028628
48,0.7988200372226709,0.8924848928802375,0.9461839750330063,0.9627143849698292
51,0.8596519927167265,0.8918913730385071,0.932974800254597,0.9630944231903941
53,0.8275557468030074,0.9569649431479667,0.9599248731264537,0.9614090115901778
76,0.8959026805974576,1.0024735261653606,0.949912143745533,0.962419461697013
79,0.7798410524845037,0.923192774784268,0.9338785803531241,0.9622047974772371
88,1.0183111258020587,0.9758995981478868,0.9650771368801961,0.9713150597644626
89,1.0313477652629592,0.88505061336487,0.9718973988803074,0.9635604971246235
90,0.8256401150902289,1.0238040055289523,0.9344839162029634,0.9566845073959737
91,0.990970425595622,0.9412959465072902,0.9579259556139217,0.962854355672987
92,0.806084889218166,0.8700721597546923,0.9321077092916199,0.9595940868969982
94,0.8760171629170735,0.9777206412987055,0.946935266999981,0.9667979520899186
95,0.8813050858509692,0.9276932834630807,0.949350102295752,0.9666434178623515
97,0.8595208795717049,0.9490217821143658,0.949205987606572,0.9635075846986689
103,0.8042163487806105,0.9159504626027838,0.9339220487958888,0.9646251420813052
105,0.876539529239775,1.0049656599461159,0.9380542660200473,0.9670345033297691
106,0.84774396443586,0.9624363989937152,0.9420706891125883,0.965667396335502
107,0.6971118372411224,0.9095759794293837,0.8919599979668986,0.9684050394588073
108,0.8415156338626183,0.9569487010919581,0.940440385858113,0.9647884368125339
118,0.9252373087446992,0.8966054659175325,0.958323862426324,0.9616962893177873
119,0.7804717763353933,0.911087922530005,0.9311347118958049,0.9646048866683816
120,0.9073303361068759,1.027181202730795,0.9527992727352638,0.9707624692464907
121,0.8776828108235416,0.9333593869237017,0.9394536440354615,0.9693148188982181
122,0.7721780714710665,0.9717801813668197,0.9222243252281488,0.9709526865145891
123,0.8544460073206807,0.9576775653688969,0.9389080087059706,0.9715492006850996
124,1.0034717290176105,0.9833276760582319,0.9609644548680144,0.9648645559931088
125,0.9019692199545404,0.970608685367972,0.9531722565247143,0.9694370574737771
126,0.8428193718970839,0.9196712801678403,0.9312949864363915,0.9644770445759004
128,0.9547704276159583,0.9036805182954719,0.9663275652840236,0.9678866901897347
130,0.8775361195641064,0.9916898442727906,0.9513348338508603,0.9659986589982227
131,0.957021237592624,0.9804442057392091,0.9516394541892693,0.9671409577613677
132,0.8403874854095981,0.9484471236167381,0.9513565841731536,0.9630615912640885
133,0.7646883208135467,0.9712381123421853,0.9187190765023006,0.9728011901385214
134,0.7460173174566086,0.9875650603878151,0.915424165195296,0.9688829000005473
138,0.8027407687617687,0.9854716986809865,0.9270243124607656,0.9734676086593697
139,0.8546193005382529,1.0013701911436077,0.9397363806653637,0.9580437787767959
140,0.7958841118323585,0.9525819878653339,0.9279179499514214,0.9685419316929715
142,0.8557337243217047,0.9500398487623779,0.9353774774260627,0.9612358041370229
143,0.8011144969895734,0.9527823455543815,0.9273559374920173,0.9675758056474636
144,0.8142823600603637,0.9203336432676832,0.9362536487066567,0.9576432653730358
145,0.7946435149665207,0.9353286229449768,0.9180931251990551,0.9667008810723533
146,0.9952121980956186,0.9564850907565492,0.9647441188065823,0.9705500142994097
148,0.8419905257636928,0.996794288216677,0.943416902068018,0.9711077748122637
149,0.8312696683396289,1.0127275063414685,0.9375646772905095,0.9703693739339996
150,0.8208485498244779,0.9586566332170272,0.9324919506762822,0.9694615144835058
154,0.9128781511311639,0.9324988527560047,0.9421938339461873,0.9638925266798885
162,0.7858842455477865,0.9244894358740916,0.9357637194530992,0.9616834314944281
163,0.9844666100105067,0.9406049565216451,0.9611529572038635,0.972327283415002
164,0.7750539790357748,0.8841217575058139,0.9441779089029168,0.961973212209901
165,0.811536174524787,0.9434496471986752,0.9440120147681628,0.962394562479794
166,0.8370784429867059,0.9543389045786084,0.9339686315291197,0.9665112315265996
167,0.8943642456810489,0.9406108558953186,0.9625083688643459,0.9662015794578727
168,0.8380125563501194,0.9630086085943831,0.9506267139122684,0.9705009830202908
170,0.864650141167704,1.0448154830032663,0.9471497041683751,0.9635524017770036
175,0.8674204507490498,0.9265173982011,0.948751085759041,0.9642813112328738
203,0.8446154449571754,0.911330901272474,0.9372571326931419,0.9600448310790054
204,0.821063094285862,0.9532769331820038,0.935564907132421,0.9615625746808566
205,0.8226377176494476,0.9794593683719028,0.9251278280134592,0.967007655722546
209,0.8816474161306892,0.9029785091281978,0.9434742320929823,0.959756607940377
211,0.8804145502948084,0.9336184683912149,0.9383680618128538,0.9672772268764692
214,0.7921914154953095,1.0396576772147794,0.9430829049750934,0.9704998496801136
215,0.7989607599563227,0.9279728215791311,0.9252548473496963,0.9688177909876257
217,0.8394321093771187,0.9471850134997433,0.9453823184062058,0.9658939968939176
223,0.8367801922281953,0.9997480860246012,0.9312195924906705,0.9616156641398075
224,0.8068014423256025,0.9958005638659334,0.9316602122508095,0.9727116276345963
225,1.0688343442743435,1.0220213252831507,0.9619357065419368,0.9699406729312444
228,0.7680492449540472,0.9158291938537634,0.9421654331752817,0.9683460038714219
233,0.7850495426819685,0.949542033222781,0.9305247296215142,0.966795812859393
234,0.9805971308068171,0.9307438325582282,0.9620160230867734,0.9661235168241183
236,0.9779288078250027,0.9990764656369133,0.9569547465663722,0.9697661282006578
238,0.8205367017208766,0.888974975341855,0.926831110928251,0.9594563780249424
240,0.88896320841784,0.965231416289659,0.949787532327432,0.9682040281448154
241,0.8479705992461369,0.8613120610627418,0.9505157991930477,0.9488704317524428
242,0.8553227440873002,0.9905779900732379,0.9481283338783693,0.9687025408037913
243,0.7093136940763738,0.914833293300689,0.8988373127842784,0.9628229455509755
244,0.8113857803155011,0.9110590797278914,0.924431555474067,0.9624267258822182
245,0.69621141249485,1.011661590567416,0.9040945524970635,0.9713628193554513
267,0.7917903111037394,0.897627165061334,0.9194694559466143,0.9650710132322305
268,0.7973997623052268,1.0655111948014577,0.9392863311538914,0.9683222152981628
269,0.8349988704285868,0.9863022345935406,0.9270961694106873,0.9568080689747469
270,0.7467585432564143,0.9322480365263153,0.9018138235837622,0.9610515117747248
280,0.7665069515791048,0.9875572123773072,0.9202959957321712,0.9680868027884396
282,0.7637961183305925,0.8927754559618927,0.9208254765735936,0.9654719747309755
284,0.8522706503097562,0.9820440607787763,0.9402171556641251,0.9698320838565095
285,0.8694785047286199,0.9147884519874449,0.9453914960876331,0.963505506378759
288,0.7475847834698529,1.001627239218873,0.9047647769254648,0.9639619863111891
294,0.8438313174623319,0.9716778003028693,0.9411647507023905,0.9646567769159515
298,0.8662010033587871,0.9980795722829471,0.9405532585127474,0.9719913707224083
307,0.9213891426788499,0.9388947789396609,0.949874841509883,0.9614449076449736
316,0.9288943723091296,0.9049751518463839,0.9519288468648055,0.9574250575441936
325,0.8267761148066287,1.02466144861457,0.9424649635849748,0.9731954733141686
326,0.7530348727462405,0.9741727479006992,0.918029555918434,0.9659544866103243
327,0.8845544499390519,1.0361283670170425,0.9409289084712884,0.9685975080793122
